timestamp,download_mbps,upload_mbps,ping_ms,jitter_ms,ai_health_score
2025-08-06 16:31:46,375.98,204.75,7.77,10.61,100
2025-08-06 16:32:03,399.56,239.94,7.25,2.11,100
2025-08-06 16:32:20,364.68,290.73,7.74,2.19,100
2025-08-06 16:32:40,310.53,225.39,18.24,4.14,100
2025-08-06 16:32:58,385.48,219.28,7.61,3.21,100
2025-08-06 16:33:18,316.6,219.12,15.24,0.97,100
2025-08-06 16:33:37,312.49,258.29,15.71,1.55,100
2025-08-06 16:33:53,397.45,313.78,6.87,2.98,100
2025-08-06 16:34:12,313.75,228.59,18.26,1.84,100
2025-08-06 16:34:30,347.0,243.24,6.63,3.54,100
2025-08-06 16:34:49,310.46,272.56,7.83,1.01,100
